カテゴリ名,カテゴリ名（フル）,カテゴリID
その他,メンズ > その他,puaRCidQs8nVVNcXWbpgoZ
その他,インテリア・住まい・小物 > その他,Cp2n9znorNXcNStgXdokAe
その他,ハンドメイド > その他,DuQL2pZ5ZrEiYkUfu9NGpY
その他,その他 > その他,4dUmVbDti7ugFbyNBm83mA
Tシャツ/カットソー(半袖/袖なし),レディース > トップス > Tシャツ/カットソー(半袖/袖なし),hqE9TkEhsY6PB5BMBcTrza
Tシャツ/カットソー(七分/長袖),レディース > トップス > Tシャツ/カットソー(七分/長袖),FogBtEZPucsQywc7siacyV
シャツ/ブラウス(半袖/袖なし),レディース > トップス > シャツ/ブラウス(半袖/袖なし),HdJJEC5h4yxHDszBGCSfMQ
シャツ/ブラウス(七分/長袖),レディース > トップス > シャツ/ブラウス(七分/長袖),bnNoE4mRonxaDGbH6pvKzM
ポロシャツ,レディース > トップス > ポロシャツ,TZW4rQqD8EHGTZVwi9Pz9F
キャミソール,レディース > トップス > キャミソール,XsSyRWUQA9CdFRQcMRSesF
タンクトップ,レディース > トップス > タンクトップ,5D4vmmC7R9ztYVmAFtPdQH
ホルターネック,レディース > トップス > ホルターネック,4ffZitpE2GrVDTqEjZuMwW
ニット/セーター,レディース > トップス > ニット/セーター,kepvy4qu9SS8YC3KDYQuxP
チュニック,レディース > トップス > チュニック,XV8bkomwTUMgZEvbBQRyAR
カーディガン/ボレロ,レディース > トップス > カーディガン/ボレロ,N22zMmAqKabCxefUPaxgkN
アンサンブル,レディース > トップス > アンサンブル,HWRYybgXASumbhNhFjvnrM
ベスト/ジレ,レディース > トップス > ベスト/ジレ,ogvkVtfzjcpPqMbLtCZ4EM
パーカー,レディース > トップス > パーカー,6TjwiNRyiuge7M76A7bdxh
トレーナー/スウェット,レディース > トップス > トレーナー/スウェット,9dWkaZBQBfqdw3F29xz499
ベアトップ/チューブトップ,レディース > トップス > ベアトップ/チューブトップ,RTXGKnQEgvGCU6axTyqesZ
ジャージ,レディース > トップス > ジャージ,eqgdhANyyZsDCtHqZ8PPwC
その他,レディース > トップス > その他,JGHhfXa9tmZDGHXxtQ6Rf
テーラードジャケット,レディース > ジャケット/アウター > テーラードジャケット,XT7qsLhbYHSTihCordKxTV
ノーカラージャケット,レディース > ジャケット/アウター > ノーカラージャケット,9CQ8E8SWWWMkbeh4bXsaAj
Gジャン/デニムジャケット,レディース > ジャケット/アウター > Gジャン/デニムジャケット,e8K2zh2JDxS2NYfzusDLe3
レザージャケット,レディース > ジャケット/アウター > レザージャケット,YgdSK8dpff37cDTAniJaXa
ダウンジャケット,レディース > ジャケット/アウター > ダウンジャケット,DBAy9txMgbnNK39rXwpx7E
ライダースジャケット,レディース > ジャケット/アウター > ライダースジャケット,c4QifeiGdxWzSNwU3VuL5M
ミリタリージャケット,レディース > ジャケット/アウター > ミリタリージャケット,QtVhmU7piMpCiPSNYKoPKH
ダウンベスト,レディース > ジャケット/アウター > ダウンベスト,QdTCwYZ7vEYNCU5JXGKzyX
ジャンパー/ブルゾン,レディース > ジャケット/アウター > ジャンパー/ブルゾン,Yp5ejhogkyRUc5FnSSbuRN
ポンチョ,レディース > ジャケット/アウター > ポンチョ,FBW7iirFZvRdVDtPyUn8VC
スタジャン,レディース > ジャケット/アウター > スタジャン,Q8gXXvcy3jVVXzNX562kUF
スカジャン,レディース > ジャケット/アウター > スカジャン,dzeXjPtpsCxxv7CKFQfVUd
ロングコート,レディース > ジャケット/アウター > ロングコート,gvZjsVfxSzcChLYrMvojMH
トレンチコート,レディース > ジャケット/アウター > トレンチコート,GkyBZA2avtyYSE2Ztvr2UX
ダッフルコート,レディース > ジャケット/アウター > ダッフルコート,p3CfSrPQJTAvGrGgBwn2YT
ピーコート,レディース > ジャケット/アウター > ピーコート,8ceyxPPqCbJuQzHVQgRvTX
毛皮/ファーコート,レディース > ジャケット/アウター > 毛皮/ファーコート,PoHutBFYFiNhcZXAVem9H6
スプリングコート,レディース > ジャケット/アウター > スプリングコート,CM78tpt2SSDfb5tDgcaJFd
その他,レディース > ジャケット/アウター > その他,P4FC5p6YRE9vJWi5hf3wV9
デニム/ジーンズ,レディース > パンツ > デニム/ジーンズ,3UabANtnthQfcwzDgt2fdE
ショートパンツ,レディース > パンツ > ショートパンツ,jQx7B5umjYonCpQ3qRi3j
カジュアルパンツ,レディース > パンツ > カジュアルパンツ,pvEukMpP42ef6KhPgDjVSU
ハーフパンツ,レディース > パンツ > ハーフパンツ,Xn3Tr9QjrP8bpsLshQrgGa
チノパン,レディース > パンツ > チノパン,Nen83N7LHtpCWgwuqSLFcL
ワークパンツ/カーゴパンツ,レディース > パンツ > ワークパンツ/カーゴパンツ,kiwVA25Vwvge3AL4k9oRs4
クロップドパンツ,レディース > パンツ > クロップドパンツ,SmFZC9KB3LGWLuxQde5Tdh
サロペット/オーバーオール,レディース > パンツ > サロペット/オーバーオール,SgpmcQKN4HhGMyxAnSoAo8
オールインワン,レディース > パンツ > オールインワン,nZd7YKekj9YUEK7B5UgvMY
サルエルパンツ,レディース > パンツ > サルエルパンツ,GPyBhq7KUfKsjUWbYXrEUV
その他,レディース > パンツ > その他,GWbVygDD5tge9dYbbKtmG6
ミニスカート,レディース > スカート > ミニスカート,aX3c25iuqdUtKLpsiqccrj
ひざ丈スカート,レディース > スカート > ひざ丈スカート,v8BwRtrSFWhrAMScTS8guS
ロングスカート,レディース > スカート > ロングスカート,mG85aeMh9c9gH9UVd3wxyX
キュロット,レディース > スカート > キュロット,dm63cw2caTCqde6AQsPC57
その他,レディース > スカート > その他,yHgN82xDgNJjvUUomqSbof
ミニワンピース,レディース > ワンピース > ミニワンピース,9fY4xPsdoykcQbhiLndrCT
ひざ丈ワンピース,レディース > ワンピース > ひざ丈ワンピース,zYmXSKaPKNmbPHfqJXYkiV
ロングワンピース,レディース > ワンピース > ロングワンピース,ZTXuvfPZcFPMxJLXKLcLAW
その他,レディース > ワンピース > その他,GVNNhJkByzzvoHKejXCTNn
ハイヒール/パンプス,レディース > 靴 > ハイヒール/パンプス,7VjKHmWHEM7RG79vuSL5ZD
ブーツ,レディース > 靴 > ブーツ,2GNXK8DUrXzejzPUMky2J9
サンダル,レディース > 靴 > サンダル,C2uZx8r2MewoyYjAd2Mitn
スニーカー,レディース > 靴 > スニーカー,ubutU7aa765gBvTDVFQtRQ
ミュール,レディース > 靴 > ミュール,i4CbbTV84BDjg7FD3p8H6M
モカシン,レディース > 靴 > モカシン,S3xCd9vWpFWJtPtjivJZL3
ローファー/革靴,レディース > 靴 > ローファー/革靴,ssgJcpAvymnUD9QjmLTk3Q
フラットシューズ/バレエシューズ,レディース > 靴 > フラットシューズ/バレエシューズ,rKdM5eUKwdrPEXbGRSvsmX
長靴/レインシューズ,レディース > 靴 > 長靴/レインシューズ,HsRfqGGc5AjE8233itGSo3
その他,レディース > 靴 > その他,bxkAxR2ubuNfKtjQjHPPrd
パジャマ,レディース > ルームウェア/パジャマ > パジャマ,2ATudWY7xdGpB8URCFgWPM
ルームウェア,レディース > ルームウェア/パジャマ > ルームウェア,48dfuGZ4gszqMYHzNVbWjU
ソックス,レディース > レッグウェア > ソックス,kz3NUar2875iJ3US8imwPe
スパッツ/レギンス,レディース > レッグウェア > スパッツ/レギンス,3RwfktByJ2xpU6Ek3u5VaD
ストッキング/タイツ,レディース > レッグウェア > ストッキング/タイツ,xuW43QU3VsYa3Wv66JXnWn
レッグウォーマー,レディース > レッグウェア > レッグウォーマー,Di6yQLv77FZ7xbwvn97Nx9
その他,レディース > レッグウェア > その他,LDPC2ia7hszEeDiA9S7tem
ニットキャップ/ビーニー,レディース > 帽子 > ニットキャップ/ビーニー,RFLxqCLFMpgK6YsnYDLcXM
ハット,レディース > 帽子 > ハット,FobY4HT9YGpEHPBMrCWypk
ハンチング/ベレー帽,レディース > 帽子 > ハンチング/ベレー帽,c7U6pFRQJsGkQgkcCf9665
キャップ,レディース > 帽子 > キャップ,4kJysKJfnPRQFpuArnsEh
キャスケット,レディース > 帽子 > キャスケット,pV5K58VfPriq8LCZuV2gHc
麦わら帽子,レディース > 帽子 > 麦わら帽子,ZdoD8iRRfd69hXeiDuvTaC
その他,レディース > 帽子 > その他,hqKecYqiNudrTsGEEjq7bG
ハンドバッグ,レディース > バッグ > ハンドバッグ,pHZBy2EwwUszKWsuVvQ25E
トートバッグ,レディース > バッグ > トートバッグ,tWdNTx75q8tqX35oKGxiK9
エコバッグ,レディース > バッグ > エコバッグ,bKdBFSbJ8dhWbdxuYvYyfe
リュック/バックパック,レディース > バッグ > リュック/バックパック,jU7iBHkHhvivQkSSyLx68N
ボストンバッグ,レディース > バッグ > ボストンバッグ,Tw4Rw75rvHhfJGegaULivQ
スポーツバッグ,レディース > バッグ > スポーツバッグ,sHWsR9HVnDxz6ibPcjGtki
ショルダーバッグ,レディース > バッグ > ショルダーバッグ,t2a4VJtr294w6hf4ssWHJA
クラッチバッグ,レディース > バッグ > クラッチバッグ,fJGVmRT9PTsZJHLLTTHtRa
ポーチ/バニティ,レディース > バッグ > ポーチ/バニティ,5CjBMfCto6RgvgdZHAErc
ボディバッグ/ウェストバッグ,レディース > バッグ > ボディバッグ/ウェストバッグ,TaVRc3TpFWBxmVAuzZSabW
マザーズバッグ,レディース > バッグ > マザーズバッグ,APZkgFoE6W9ufKbs72cCF6
メッセンジャーバッグ,レディース > バッグ > メッセンジャーバッグ,YDPQm2TpmjkvahKba5o5Bd
ビジネスバッグ,レディース > バッグ > ビジネスバッグ,5zVA9zZNfLARWGuytusCs6
旅行用バッグ/キャリーバッグ,レディース > バッグ > 旅行用バッグ/キャリーバッグ,5iWsn24UMbPf3MMMYBLhyT
ショップ袋,レディース > バッグ > ショップ袋,VpHcm8kTDaHaxztGpdGqEf
和装用バッグ,レディース > バッグ > 和装用バッグ,CUDoKNkRcQTRnfAq8Uq67Z
かごバッグ,レディース > バッグ > かごバッグ,PAUbqak9ykwBG3sdasdSjP
その他,レディース > バッグ > その他,vxJ86yjw8vgupKaBL8Wk9G
ネックレス,レディース > アクセサリー > ネックレス,zvtWqSXCz3wcfJXhXMMzpH
